E. coli ATCC11775,P. aeruginosa PAO1,P. aeruginosa PA14,S. aureus ATCC12600,E. coli AIG221,E. coli AIG222,K. pneumoniae ATCC13883,A. baumannii ATCC19606,A. muciniphila ATCC BAA-835,B. fragilis ATCC25285,B. vulgatus ATCC8482,C. aerofaciens ATCC25986,C. scindens ATCC35704,B. thetaiotaomicron ATCC29148,B. thetaiotaomicron Complemmented,B. thetaiotaomicron Mutant,B. uniformis ATCC8492,B. eggerthi ATCC27754,C. spiroforme ATCC29900,P. distasonis ATCC8503,P. copri DSMZ18205,B. ovatus ATCC8483,E. rectale ATCC33656,C. symbiosum,R. obeum,R. torques,S. aureus (ATCC BAA-1556) - MRSA,vancomycin-resistant E. faecalis ATCC700802,vancomycin-resistant E. faecium ATCC700221,E. coli Nissle,Salmonella enterica ATCC 9150 (BEIRES NR-515),Salmonella enterica (BEIRES NR-170),Salmonella enterica ATCC 9150 (BEIRES NR-174),L. monocytogenes ATCC 19111 (BEIRES NR-106)
14.800848,10.675508,17.331373,50.219357,15.013824,11.843807,84.951515,6.8449097,4.778426,87.691414,8.336532,10.426541,7.000566,64.110435,104.95471,68.41579,51.704426,45.298454,41.732105,66.41234,57.95976,94.22603,38.840458,266.28253,814.74426,317.10666,57.662548,85.10188,12.311115,696.4749,5.4368067,214.01811,227.9061,16.662436
9.142726,25.83139,31.67738,15.063904,19.990627,13.916132,20.129452,8.242864,11.891908,19.111069,10.874436,9.1019125,5.4786916,13.879066,32.698414,22.416147,8.183677,9.553897,8.434932,16.528715,14.73764,19.326862,10.813855,60.12063,238.91821,67.36426,15.025546,27.78277,12.0787735,1553.7338,22.34824,233.17815,238.66238,27.264355
20.112759,13.10298,15.218862,47.87474,10.5787525,13.292079,64.663055,11.608307,8.144372,109.85136,10.698553,11.95775,10.860948,76.537636,112.09611,88.17885,61.3323,60.00776,100.468796,74.138374,92.45353,108.963455,63.51468,286.35638,463.11108,369.57126,64.63421,98.555695,8.142724,408.0001,5.4848185,191.62392,149.40262,10.649926
15.308397,8.8839655,14.662071,46.06599,15.329272,14.717114,88.54576,11.635366,3.6703708,94.49663,8.203316,9.424123,7.319175,70.48863,107.49548,80.70256,65.76625,58.878864,52.773663,69.004684,77.16765,103.253494,48.799324,324.9261,574.1493,373.75763,49.822533,84.73348,9.334982,536.77814,5.382017,138.82693,174.36006,14.081126
10.645996,12.230605,20.745792,26.75491,15.425548,11.063894,59.602142,6.8218956,5.2970166,48.41738,5.7921247,6.7673364,6.8290863,28.80575,65.70936,39.98832,20.954472,21.06567,22.155188,37.7262,27.763714,49.01311,27.254938,176.50479,462.89764,222.01407,28.743221,57.977745,7.87137,250.34183,12.121556,170.17241,170.2569,24.756214
15.203931,9.00394,18.41275,38.602203,15.449374,14.145319,88.25231,14.29379,4.0944743,89.6222,7.544215,10.239206,9.115954,65.05851,97.5574,72.30919,57.634773,49.2671,41.843414,75.871155,69.13166,90.658264,42.13604,228.30591,590.0733,269.23804,46.22622,73.950294,8.029804,486.54712,5.679099,186.19922,229.28723,16.823765
15.617239,13.151024,15.691365,51.631737,13.443759,12.150095,63.45698,8.165343,11.383951,104.43668,16.357635,12.64406,11.683961,84.477005,118.25734,84.436874,52.444916,52.358044,68.544266,60.504204,73.58299,112.101944,51.555367,276.54535,540.18567,310.73923,69.62782,92.63876,8.241976,399.13507,5.169034,263.93393,201.09824,11.031639
15.718485,98.10565,103.57881,12.157401,22.349964,11.031438,28.646236,7.672998,18.491222,52.142017,18.083996,47.8355,44.29711,22.946259,49.47454,34.69497,6.672506,15.003995,21.212828,30.89935,22.650341,39.88369,24.823069,100.75521,309.63028,128.51396,15.1736555,45.90524,9.600428,836.45636,25.958801,450.33057,434.46255,40.218956
15.793396,9.908773,15.732518,54.260155,14.6924925,12.574993,90.015236,8.296466,3.8413048,88.65578,8.135811,8.872117,7.455676,69.01182,106.133255,68.32986,47.57609,41.648773,41.867153,58.761574,60.97066,98.80598,41.833187,271.60324,784.3851,318.19403,60.86083,89.770645,11.497024,636.6513,5.0581846,239.88828,247.85591,14.963
11.917597,15.781896,22.427406,36.00243,12.422514,12.990189,27.50846,6.0744433,6.680382,26.162548,7.3840775,9.562393,13.209592,18.645504,42.41363,26.75349,13.004344,12.717027,15.812487,14.046954,18.42482,33.39187,26.375973,116.23611,303.24942,133.74307,33.013733,46.249477,8.140948,472.4336,9.180167,171.35033,207.28899,17.486553
